"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
47.3,52.7,"<b>Bewilligung eines Objektkredits für das Bauprojekt KH11 Entlastungsstrasse Stans West, Gemeinde Stans</b><br>11 von 11 Gemeinden ausgezählt (100%)","<b> </b><br>11 des 11 communes sont connus (100%)","<b> </b><br>11 dei 11 comuni sono noti (100%)"
56.7,43.3,"<b>Kantonale Initiative «für ein klimagerechtes Basel (Klimagerechtigkeitsinitiative)»</b><br>3 von 3 Gemeinden ausgezählt (100%)","<b> </b><br>3 des 3 communes sont connus (100%)","<b> </b><br>3 dei 3 comuni sono noti (100%)"
64.1,35.9,"<b>Gegenvorschlag des Grossen Rates vom 14. September 2022</b><br>3 von 3 Gemeinden ausgezählt (100%)","<b> </b><br>3 des 3 communes sont connus (100%)","<b> </b><br>3 dei 3 comuni sono noti (100%)"
38.2,61.8,"<b>Stichfrage zu Initiative und Gegenvorschlag</b><br>3 von 3 Gemeinden ausgezählt (100%)","<b> </b><br>3 des 3 communes sont connus (100%)","<b> </b><br>3 dei 3 comuni sono noti (100%)"
62.6,37.4,"<b>Änderung des Steuergesetzes, Vermögenssteuerreform I</b><br>86 von 86 Gemeinden ausgezählt (100%)","<b> </b><br>86 des 86 communes sont connus (100%)","<b> </b><br>86 dei 86 comuni sono noti (100%)"
