"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
50,50,"<b>Gesetz über die Ombudsstelle (Ombudsgesetz)</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>NA</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
50,50,"<b>Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg; Verpflichtungskredit</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>NA</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
50,50,"<b>Aargauische Volksinitiative ""Klimaschutz braucht Initiative! (Aargauische Klimaschutzinitiative)""</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>NA</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
