"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
50,50,"<b>Kantonsratsbeschluss über die Erhöhung des Eigenkapitals der Spitalregion Rheintal Werdenberg Sarganserland in Form einer Umwandlung von Kontokorrent-Darlehen</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>NA</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
50,50,"<b>Kantonsratsbeschluss über die Erhöhung des Eigenkapitals des Spitals Linth in Form einer Umwandlung von Kontokorrent-Darlehen und eines Betriebsdarlehens</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>NA</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
50,50,"<b>Kantonsratsbeschluss über die Darlehensgewährung an die Spitalregion Rheintal Werdenberg Sarganserland für verschiedene Bauvorhaben am Standort Grabs</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>NA</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
