"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
50,50,"<b>Änderung des Gesetzes über die Energienutzung</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>NA</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
50,50,"<b>Kreditbegehren über 127.2 Mio. Franken (Fr. 127'203'243.85) betreffend die Verwendung des Agios aus der Ausgabe von Partizipationsscheinen der Thurgauer Kantonalbank (TKB)</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>NA</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
