"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
60.1,39.9,"<b>Gesetz über die Magistratspersonen</b><br>30 von 30 Gemeinden ausgezählt (100%)","<b> </b><br>30 des 30 communes sont connus (100%)","<b> </b><br>30 dei 30 comuni sono noti (100%)"
47.3,52.7,"<b>Bewilligung eines Objektkredits für das Bauprojekt KH11 Entlastungsstrasse Stans West, Gemeinde Stans</b><br>11 von 11 Gemeinden ausgezählt (100%)","<b> </b><br>11 des 11 communes sont connus (100%)","<b> </b><br>11 dei 11 comuni sono noti (100%)"
56.7,43.3,"<b>Kantonale Initiative «für ein klimagerechtes Basel (Klimagerechtigkeitsinitiative)»</b><br>3 von 3 Gemeinden ausgezählt (100%)","<b> </b><br>3 des 3 communes sont connus (100%)","<b> </b><br>3 dei 3 comuni sono noti (100%)"
64.1,35.9,"<b>Gegenvorschlag des Grossen Rates vom 14. September 2022</b><br>3 von 3 Gemeinden ausgezählt (100%)","<b> </b><br>3 des 3 communes sont connus (100%)","<b> </b><br>3 dei 3 comuni sono noti (100%)"
38.2,61.8,"<b>Stichfrage zu Initiative und Gegenvorschlag</b><br>3 von 3 Gemeinden ausgezählt (100%)","<b> </b><br>3 des 3 communes sont connus (100%)","<b> </b><br>3 dei 3 comuni sono noti (100%)"
