"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
49.9,50.1,"<b>C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die Kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?</b><br>160 von 160 Gemeinden ausgezählt (100%)","<b> </b><br>160 des 160 communes sont connus (100%)","<b> </b><br>160 dei 160 comuni sono noti (100%)"
60.1,39.9,"<b>Gesetz über die Magistratspersonen</b><br>30 von 30 Gemeinden ausgezählt (100%)","<b> </b><br>30 des 30 communes sont connus (100%)","<b> </b><br>30 dei 30 comuni sono noti (100%)"
47.3,52.7,"<b>Bewilligung eines Objektkredits für das Bauprojekt KH11 Entlastungsstrasse Stans West, Gemeinde Stans</b><br>11 von 11 Gemeinden ausgezählt (100%)","<b> </b><br>11 des 11 communes sont connus (100%)","<b> </b><br>11 dei 11 comuni sono noti (100%)"
