"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
50,50,"<b>Änderung der Kantonsverfassung (Anpassungen bei den Schuldenbremsen)</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>Modification de la Constitution cantonale (ajustements des freins à l’endettement)</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
50,50,"<b>Volksinitiative ""Für eine kantonale Elternzeit""</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>Initiative populaire « Pour un congé parental cantonal »</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
